ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,C_acid_pbm_mol_L,delta_X
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,5.0,300.0,0.84,0.85,0.06,0.12,0.9,0.9851422581226372,0.014857741877362773,-0.14514225812263726
9,1.0,1.0,98.08,100.0,40.0,0.4,40.0,1000.0,15.0,900.0,0.85,0.85,0.06,0.12,0.9,0.9950157879389909,0.0049842120610090745,-0.14501578793899095
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.85,0.07,0.23,0.6,0.0,1.5,0.0
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,0.5,30.0,0.84,0.85,0.07,0.23,0.6,0.9080367051379745,0.13794494229303822,-0.06803670513797455
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,1.0,60.0,0.83,0.85,0.07,0.23,0.6,0.9519271770591037,0.07210923441134448,-0.12192717705910372
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,2.0,120.0,0.83,0.85,0.07,0.23,0.6,0.9754348431888724,0.03684773521669138,-0.14543484318887245
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,3.0,180.0,0.83,0.85,0.07,0.23,0.6,0.9835119408957674,0.02473208865634885,-0.15351194089576747
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,4.0,240.0,0.83,0.85,0.07,0.23,0.6,0.9875953484916702,0.018606977262494717,-0.15759534849167023
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,5.0,300.0,0.84,0.85,0.07,0.23,0.6,0.9900591483937051,0.014911277409442314,-0.15005914839370516
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,15.0,900.0,0.85,0.85,0.07,0.23,0.6,0.9966757697115415,0.004986345432687778,-0.1466757697115415
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,0.0,0.0,0.0,0.98,0.07,0.04,1.5,0.0,0.1,0.0
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,0.5,30.0,0.86,0.98,0.07,0.04,1.5,0.4216079324982057,0.07189280450011962,0.43839206750179427
